UID	Name	Name_of_mapped_ID_in_Tax	Tax_Path_Names	URL	Mapped_ID_in_Tax	Tax_Level	Tax_Path_IDs	Keywords	Description	Date	Type 	Author	Last_Edit	Comments	Affiliation	Location	Driftie	Tags
1.1.1.1.1.100	The Space Laser Dilemma: Asset-based financing for climate companies	Asset Management	Power;Renewables;Software;Asset Management;Asset Management	https://www.climatedrift.com/p/the-space-laser-dilemma-asset-based	1.1.1.1.1	5	1;1.1;1.1.1;1.1.1.1;1.1.1.1.1	VC, climate finance, finance, startup, venture, venture debt, asset	The Space Laser Dilemma: Asset-based financing for climate companies. Mairi Robertson is Director of Asset Financing at Ezra Climate, where she develops innovative financing structures for energy transition investors and companies. The Space Laser Dilemma: Asset-based financing for climate companies Photo by NASA on Unsplash . Space Lasers & Company: A tale from the frontier Let’s suppose you are an investor, and you like to invest in impactful and meaningful things that are going to make the world a better place (and generate good returns). When the asset in question is a space laser, his thinking will go something like this: “If SL & Co. goes bust, then I’m going to be stuck with a bunch of, er, space lasers. This is clever: The lender’s risk drops as the technology proves itself; each milestone creates real data about asset performance (and thus value); and the company builds a track record of operating history that future lenders can underwrite. But companies can increase the odds of working around the “What’s This Worth?” problem: Start small Begin with corporate debt, venture debt, or (god forbid) equity for initial deployments Build up real performance data (i.e., show me the thing works) Create a secondary market (even if it’s tiny) Be creative with structure Use hybrid instruments that blend debt and equity (and be prepared to flex on advance rate over time) And yet: Nobody knows exactly how batteries degrade over time Technology keeps improving, making old models obsolete faster Charging infrastructure keeps evolving The market — including suppliers, subsidies, and sentiment — keeps shifting If we can’t figure out the value of a used Tesla, then maybe we shouldn’t feel so bad about struggling with space lasers. Or, put another way, it will take new technologies developing a track record of their...	02/14/2025	CD Original Article	Mairi Robertson	07/10/2025				NA	funding, EVs, climate-finance, research
1.1.1.100	In Pursuit of Triple Bottom Lines	Renewables	Power;Renewables;Renewables	https://www.climatedrift.com/p/in-pursuit-of-triple-bottom-lines	1.1.1	3	1;1.1;1.1.1	Triple Bottom Lines, Renewable Energy, Community Engagement, Local Economic Resilience, Environmental Justice, Community Benefits Plan, CBP, Justice 40, Ecosystem Partners, Sustainable ROI, Decentralized Development, BIPOC, DOE, monocultures, California’s Desert Renewable Energy Conservation Plan, DRECP, Solar Programmatic Environmental Impact Statement. Solar PEIS, community, Fern Gully	Renewable energy is booming, but many communities remain skeptical—and for good reason. While infrastructure scales up, too many projects still overlook local economic resilience, environmental justice, and community voices. Can “for profit” and “for good” coexist? (Spoiler: yep, and today we have the blueprint.) After the new U.S. administration removed crucial community engagement guidelines and the Justice 40 initiative, we are bringing them back: with detailed checklists and a comprehensive toolbox to operationalize real community benefits. In her new piece, Eleanor dives into: The pitfalls of the old “Fern Gully” model (aka extract first, ask questions never); How to avoid building local economies that hinge on a single player (“Monocultures”- another short-sighted trap);  A next-level approach to community engagement that drives sustainable ROI and fosters communities; If you're in climate tech, renewables, or just believe business can be a force for good, these frameworks and tools are for you and your communities	03/19/2025	CD Original Article	Elaeanor Clark Boli	07/10/2025	I think we need a better category for this entry			NA	renewables, EVs, AI, solar, research, residential
1.1.1.2.1.3.100	The Companies of Residential Solar Pt. 2	Residential Solar	Power;Renewables;Solar;Production and Deployment;Residential Solar;Residential Solar	https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0	1.1.1.2.1.3	4	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.3	palmetto, ION Solar, Pineapple Energy, solar, residential, resi	hining the spotlight on emerging giants in the solar arena: Palmetto: A fresh face, now the 8th largest in the scene with 1% market share; ION Solar: Celebrating the all-American spirit in solar solutions; Pineapple Energy: What happens when midsized installers are brought under one roof	08/11/2023	CD Original Article	Skander Garroum	07/10/2025				NA	solar, residential, markets, renewables
1.1.1.2.1.3.101	A Guide To Residential Solar	Residential Solar	Power;Renewables;Solar;Production and Deployment;Residential Solar;Residential Solar	https://www.climatedrift.com/p/a-guide-to-residential-solar	1.1.1.2.1.3	4	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.3	solar, reasidential, resi, resilience, 	Diving into the world of residential solar. Here's a fun fact: the surge in residential installations is fueled by decreasing system costs and soaring electricity prices. How solar became so affordable?  In 2022, the U.S. residential sector grew by 40% in a year. To put that into perspective, that's 700,000 American households harnessing the sun's power in just twelve months! Yet, the horizon still holds immense potential. Of the 77 million households that could benefit from solar, a mere 6% have taken the plunge. Across the pond in Europe, the narrative is strikingly similar, with a vast majority of buildings—over 90%—still untouched by solar energy. Our Guide to Residential Solar we are covering four topics: The Solar Buyer's Journey: From contemplation to purchase, we break down the steps; Behind the Solar Panels: Ever wondered what goes on behind the scenes?; Outlook: Gazing into the crystal ball to predict market shifts;  Challenges in the Solar Realm: It's not all sunshine; we delve into the industry's pain points; Also stay tuned for our next nstallment, where we'll leverage this foundation to spotlight six frontrunners in the U.S. residential solar scene.	08/09/2023	CD Original Article	Skander Garroum	07/10/2025				NA	residential, solar, EVs, buildings
1.1.1.2.1.3.102	Palmetto	Residential Solar	Power;Renewables;Solar;Production and Deployment;Residential Solar;Residential Solar	https://palmetto.com/	1.1.1.2.1.3	4	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.3	e-commerce, north carolina, solar installation, residential, resi	Trust in a Fragmented Solar Terrain: Amidst the solar sector's vast, decentralized landscape brimming with myriad local contenders, carving a trustworthy brand is no easy feat. Yet, Palmetto illuminates the scene with gleaming 4.9 stars on Google reviews. Evolutionary Business Model: Having spent years as a traditional vertical seller, Palmetto has transformed its role. They now serve as the central conduit, bridging homeowners, installers, outsourced sales and marketing teams, services, financiers, and equipment manufacturers.  This pivot has empowered them to: Slash operational expenditures - by lowering soft costs (primarily labor) across the value chain Amplify profit margins - by letting each stakeholder focus on what they are best Resulting in surplus cash channeled towards research, development, and automation. Market Strategy - following the ecommerce playbook: Shifting gears from conventional salesforce tactics, Palmetto is now harnessing the e-commerce playbook - digital first, direct-to-consumer. They aim to make purchasing solar for your home as simple as shopping on Amazon. They're also forging  lliances with utility providers and mortgage corporations - going where already strong (energy based) customer relationships exist.	05/26/2025	Company		07/10/2025				NA	residential, solar, EVs, AI
1.1.1.2.1.3.103	Ion Solar	Residential Solar	Power;Renewables;Solar;Production and Deployment;Residential Solar;Residential Solar	https://www.ionsolar.com/	1.1.1.2.1.3	4	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.3	e-commerce, utah, solar installation, residential, resi	Focus on Direct Sales (door to door), selling only american products (at a premium), starting at lesser known states, and then expanding from there (everyone needs solar, even if the winter is harsh). Ion Solar champions a unified service approach. They also believe in a strong customer relationship, with high reviews.	05/26/2025	Company		07/10/2025				NA	residential, solar, EVs, deployment
1.1.1.2.1.3.104	Sun Nation Energy	Residential Solar	Power;Renewables;Solar;Production and Deployment;Residential Solar;Residential Solar	https://www.sunation.com/	1.1.1.2.1.3	4	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.3	e-commerce, minnesota, solar installation, residential, resi	SUNation Energy is proud to be a top solar and energy installer throughout the Long Island area. Since 2003, SUNation has served more than 9,000 homeowners and building owners in the region, installing the  ost current and efficient solar panels and battery technology. We stand out based on our professionalism, personalized customer experience, and constant drive to reach peak customer satisfaction. We are proud to live, work, and give back in local communities like Suffolk County, Nassau County, Queens, Brooklyn, and Staten Island. Our team works daily to ensure that the Long Island area can thrive for future generations sing clean and effective solar power. Installing a solar panel system involves no upfront costs and can help you drastically decrease your energy costs. Long Island residents and business owners have recognized SUNation as the top solar and battery storage company for 20+ years running and we’re proud to continue serving the region for years to come. 	05/26/2025	Company		07/10/2025				NA	solar, residential, energy-storage, deployment
1.1.1.2.1.3.105	Skander Garroum	Residential Solar	Power;Renewables;Solar;Production and Deployment;Residential Solar;Residential Solar	https://www.linkedin.com/in/skandergarroum/	1.1.1.2.1.3	4	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.3	climate drift, founder	Founder & Economist on a mission to demystify climate solutions. Serving bite-sized insights and in-depth explorations.	05/26/2025	Person		07/10/2025			Berlin, Germany	1	renewables, solar
1.1.1.2.1.3.106	An Offensively Brief Climate Vc Thesis	Residential Solar	Power;Renewables;Solar;Production and Deployment;Residential Solar;Residential Solar	https://www.climatedrift.com/p/an-offensively-brief-climate-vc-thesis	1.1.1.2.1.3	6	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.3	VC, solar, residential solar, resi, mosaic	Your customers don’t really care about saving the planet—unless it also saves (or makes) them money. Curious how solar got unstuck (and why nuclear SMRs and green hydrogen haven’t)? Check out Mairi’s bite-sized manifesto below. It’s a crash course in Homo economicus meets climate investing: perfect for founders, investors, or anyone who wants to see where the climate tech unicorns will come from.	03/03/2025	CD Original Article	Mairi Robertson	07/10/2025				NA	residential, solar, AI, funding
1.1.1.2.1.3.107	How To Make Your Home A Climate Champion	Residential Solar	Power;Renewables;Solar;Production and Deployment;Residential Solar;Residential Solar	https://www.climatedrift.com/p/how-to-make-your-home-a-climate-champion	1.1.1.2.1.3	6	1;1.1;1.1.1;1.1.1.2;1.1.1.2.1;1.1.1.2.1.3	Home Electrification, Climate Champion, Zero-Carbon Living, Carbon Footprint Reduction, Energy Efficiency, Carbon Reduction Plan, Zero Energy Ready Home (ZERH), Heat Pump, Weatherization, Water Re-use, Rainwater Capture, Composting, Methane, Energy Costs Savings, Indoor Air Health, IRA, net zero, home, International Energy Conservation Code, IECC, Rewiring America, Pedernales Electric Cooperative, home energy audit, EVs, Texas Electric Vehicle Infrastructure Plan, solar, residential, water heater, stove, composting, Carbon-Neutral Home	Have you thought about ditching your gas furnace or car and electrifying your home, only to be stopped by sticker shock or a maze of choices? If so, you’re not alone. The good news: plenty of homeowners are cracking the code on all-electric, zero-carbon living. Take Jennie Montano, for example. Jennie is a homeowner in Austin, Texas, who recently decided to transform her 1970s bungalow into a cleaner, more efficient home. At first, she felt just as stuck as anyone: Which project to do first?; How to afford it?; Who to hire?; Rather than throwing up her hands, Jennie turned the project into a series of manageable steps. And because she is a driftie she built it into a roadmap, and shared her decision making process and decisions along the way, to help us learn about the current solutions and friction points.This one’s for every homeowner thinking about decarbonization and every built-environment founder wanting to understand how customers navigate (or get stuck in) this transition.	02/17/2025	CD Original Article	Jennie Montano	07/10/2025	Maybe add a taxa category for homes?			NA	residential, EVs, water, AI
