ID,Name,Parent ID,Level,Description,Tags,Last Updated
1,Climate Drift,,1,,,2025-04-17
1.1,Climate Solutions,1,2,,,2025-04-17
1.1.1,Power,1.1,3,,Energy,2025-04-17
1.1.1.1,Renewables,1.1.1,4,,Clean Energy,2025-04-17
1.1.1.1.1,Software,1.1.1.1,5,,Digital,2025-04-17
1.1.1.1.1.1,Asset Management,1.1.1.1.1,6,,,2025-04-17
1.1.1.1.1.2,Predictive Analytics,1.1.1.1.1,6,,,2025-04-17
1.1.1.1.1.3,Planning and Design,1.1.1.1.1,6,,,2025-04-17
1.1.1.1.2,Solar,1.1.1.1,5,,Renewable,2025-04-17
1.1.1.1.2.1,Production and Deployment,1.1.1.1.2,6,,,2025-04-17
1.1.1.1.2.1.1,Solar Supply Chain,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.2,Lack of Solar Installers,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.3,Residential Solar,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.4,Commercial Solar,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.5,Utility Scale Solar,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.1.6,Solar Financing,1.1.1.1.2.1,7,,,2025-04-17
1.1.1.1.2.2,Software for Solar,1.1.1.1.2,6,,,2025-04-17
1.1.1.1.2.2.1,SCADA,1.1.1.1.2.2,7,,,2025-04-17
1.1.1.1.2.2.2,Yield Optimization,1.1.1.1.2.2,7,,,2025-04-17
1.1.1.1.2.2.3,Asset Performance Management,1.1.1.1.2.2,7,,,2025-04-17
1.1.1.1.2.3,Technological Improvements,1.1.1.1.2,6,,,2025-04-17
1.1.1.1.2.3.1,Advanced Panels,1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.3.1.1,Perovskite,1.1.1.1.2.3.1,8,,,2025-04-17
1.1.1.1.2.3.1.2,Other new combinations,1.1.1.1.2.3.1,8,,,2025-04-17
1.1.1.1.2.3.2,Advanced Trackers,1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.3.3,New Structures Concentrated Solar,1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.3.4,Floating Solar,1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.3.5,Building Integrated Photovoltaics (BIPV),1.1.1.1.2.3,7,,,2025-04-17
1.1.1.1.2.4,Maintenance,1.1.1.1.2,6,,,2025-04-17
1.1.1.1.2.4.1,Inspections,1.1.1.1.2.4,7,,,2025-04-17
1.1.1.1.2.4.2,Vegetation,1.1.1.1.2.4,7,,,2025-04-17
