Climate Drift  Climate Solutions (1)	Transportation	2 Wheelers &  Micro Mobility	eScooters				
			eBikes				
			eCargo Bikes				
			3 Wheelers				
		Cars	EVs	Production			
				Charging	Public Charging Network		
					Home charging		
				Autonomy			
				Battery Improvements			
			Hydrogen				
			Natural Gas				
			Fleet electrification	Fleet electrification-as-a-service			
				Charging for corporate fleets			
				Driver-focused services			
				Logistics & optimisation			
				Fleet management & telematics			
				Last-mile delivery electrification			
				Mobility-as-a-service for corporates			
		Buses	Electric Buses	Production			
				Charging			
				Autonomy			
				Battery Improvements			
				Electrify school buses			
			Hydrogen				
			Natural Gas				
		Trucks	Electric Trucks	Delivery Trucks			
				Light & Medium			
				Heavy			
				eRV			
			Hydrogen Trucks				
			Hybrid Trucks				
			Carbon Capture				
			Power train  & Drive train retrofit	Electric			
				Hydrogen			
			Truck stops				
		Rail	Electric Rail				
			Hydrogen Rail				
			Autonomy				
		Maritime	Electric Ships				
			Improvements &  Energy Efficiency	Sails			
				Operational Measures			
				Autonomy			
				Carbon Capture & Storage			
			Alternative Fuels	LNG			
				Hydrogen			
				Ammonia			
			Ports	Portside fueling			
				Loading & Port Operations			
			Carbon Management Software				
			Autonomous Unmanned Vehicles				
			Recreational boats				
		Planes	eFuels				
			Hydrogen				
			Electric Planes				
			Airports	Fueling			
				Gate electrification			
				Rental Cars			
			Efficiency improvements				
	Power	Renewables	Software	Asset Management			
				Predictive Analytics			
				Planning and Design			
			Solar	Production and Deployment	Solar Supply Chain		
					Lack of Solar Installers		
					Residential Solar		
					Commercial Solar		
					Utility Scale Solar		
					Solar Financing		
				Software for Solar	SCADA		
					Yield Optimization		
					Asset Performance  Management		
				Technological Improvements	Advanced Panels	Perovskite	
						Other new combinations	
					Advanced Trackers		
				New Structures	Concentrated Solar		
					Floating Solar		
					Building Integrated Photovoltaics  (BIPV)		
				Maintenance	Inspections		
					Vegetation		
					Panel Cleaning		
				Recycling			
			Wind	Production and Deployment	Wind Supply Chain		
					Lack of Wind Installers		
					Regulation		
					Onshore Wind		
					Offshore Wind	Fixed Support	
						Floating	
				Improvements	Turbine Attachements		
					Taller Wind Towers		
				New Turbine Design	Vertical-axis wind turbine (VAWT)		
				Blade Recycling			
				Sensors	Hub		
					Blade		
					Windspeed		
				Software	Yield Optimization		
				Maintenance	Inspections		
					Blade Maintenance		
			Hydropower	Modernising  old plants			
				Generation	Conventional		
					Pumped Storage		
					Run-of-river		
					Tide		
					In-pipe		
				Drought Management & Planning			
				Environmental Impact	Assessment		
					Mitigation		
			Biomass & Waste-To-Energy (WTE)	Carbon Capture & Storage			
				Waste Management			
			Nuclear	Fission			
				Fusion			
		Fossil Fuels	Coal	Carbon Capture & Storage			
				Repurposing of Mines			
			Gas	Improvements			
				Carbon Capture & Storage			
				Flaring emissions			
		Energy Storage	Daily peak shaving & ancillary  services (4-6h of storage)	Lithium-ion Batteries			
			Daily net load balancing (8-16h of  storage)	Flow Batteries			
				Gravity-based Batteries			
				Zinc-based Batteries			
				High-temperature Heat			
				Compressed Fluids			
				Compressed Air			
			Firm multi-day & seasonal capacity  (100+h of storage)	Iron Air Batteries			
				Hydrogen			
			Software	Analytics			
				Optimization			
				Systems			
		Transmission and distribution	Building new transmission				
			Technologies	Transformers			
				Superconducting cables			
				Power flow controllers			
				Advanced Power Flow Control			
				Dynamic Line Ratings			
				Topology Optimization			
			Maintenance	Inspection			
		The Grid & Demand	Smart Grids	Smart meter			
				Demand response & control			
			Microgrid				
			Rising Complexity of the Grid &  Renewables	Virtual Power Plants & Distributed  Energy Resource (DER)			
